grupo,nome,dominio,url_base,url_patterns,status
,3 Torres Leilões,https://www.3torresleiloes.com.br,,,
,Agência Leilões,https://www.agencialeilao.com.br,,,
,Agil Leilões,https://www.agilleiloes.com.br,,,
,Agostinho Leilões,https://www.agostinholeiloes.com.br,,,
,Alemão Leilões,https://www.alemaoleiloeiro.com.br,,,
,Alexandre Pedrosa Leiloeiro,https://www.alexandrepedrosaleiloeiro.com.br,,,
,Alves Leilões,https://www.alvesleiloes.com.br,,,
,AM Leilões,https://www.amleiloes.lel.br,,,
,Amanda Tomazelli Leiloeira,https://www.atomazellileiloeira.com.br,,,
,Amaral Leilões,https://www.amaralleiloes.com.br,,,
,Andrade Leilões,https://www.andradeleiloes.com.br,,,
,Apice Leilões,https://www.apiceleiloes.com.br,,,
,Aragão Leilões,https://www.aragaoleiloes.com.br,,,
,ARG Leilões,https://www.argleiloes.com.br,,,
,Assunção Leilões,https://www.assuncaoleiloes.com.br,,,
,Back Leilões,https://www.backleiloes.com.br,,,
,Benozzati,https://www.benozzati.com.br,,,
,Best Leilões,https://www.bestleiloes.com.br,,,
,BidMax,https://www.bidmax.com.br,,,
,Brasil Sul Leilões,https://www.brasilsulleiloes.com.br,,,
,Bronzatto Leilões,https://www.bronzattoleiloes.com.br,,,
,Bruno Niewinski Leilões,https://www.brunoniewinskileiloes.com.br,,,
,Cardoso Leilões,https://www.cardosoleiloes.com.br,,,
,Cargnelutti Leilões,https://www.cargneluttileiloes.com.br,,,
,CCJ Leilões,https://www.ccjleiloes.com.br,,,
,Cencin,https://www.cencin.com.br,,,
,Central dos Leilões,https://www.centraldosleiloes.com.br,,,
,Clic Leilões,https://www.clicleiloes.com.br,,,
,Colodete Leilões,https://www.colodeteleiloes.com.br,,,
,Conceito Leilões,https://www.conceitoleiloes.com.br,,,
,Construbem Leilões,https://www.construbemleiloes.com.br,,,
,Cravo Leilões,https://www.cravoleiloes.com.br,,,
,Damasio Leilões,https://www.damasioleiloes.com.br,,,
,Daniel Garcia Leilões,https://www.danielgarcialeiloes.com.br,,,
,Diego Leilões,https://www.diegoleiloes.com.br,,,
,FA Leilões,https://www.faleiloes.com.br,,,
,Ferreira Leilões,https://www.ferreiraleiloes.com.br,,,
