grupo,nome,dominio,url_base,crawl_urls,include_paths
Bom Valor / Mercado Bomvalor,Mercado Bomvalor,https://mercado.bomvalor.com.br/,https://mercado.bomvalor.com.br,https://mercado.bomvalor.com.br|https://mercado.bomvalor.com.br/leiloes|https://mercado.bomvalor.com.br/imoveis|https://mercado.bomvalor.com.br/veiculos,/lote/|/imoveis/|/veiculos/
Copart,Copart,https://www.copart.com.br,https://www.copart.com.br,https://www.copart.com.br|https://www.copart.com.br/leiloes|https://www.copart.com.br/veiculos,/lot/|/lote/|/veiculo/
Plataforma LEILAO.BR,BLM Leilão,https://www.blm.leilao.br,https://www.blm.leilao.br,https://www.blm.leilao.br|https://www.blm.leilao.br/leiloes|https://www.blm.leilao.br/catalogo,/lote/|/item/
Plataforma LEILAO.BR,NS Leilões (leilao.br),https://www.nsleiloes.leilao.br,https://www.nsleiloes.leilao.br,https://www.nsleiloes.leilao.br|https://www.nsleiloes.leilao.br/leiloes|https://www.nsleiloes.leilao.br/catalogo,/lote/|/item/
Plataforma LEILAO.BR,Oscar Leilão,https://www.oscar.leilao.br,https://www.oscar.leilao.br,https://www.oscar.leilao.br|https://www.oscar.leilao.br/leiloes|https://www.oscar.leilao.br/catalogo,/lote/|/item/
Plataforma LEILAO.BR,RZ Leilão,https://www.rz.leilao.br,https://www.rz.leilao.br,https://www.rz.leilao.br|https://www.rz.leilao.br/leiloes|https://www.rz.leilao.br/catalogo,/lote/|/item/
Plataforma LEILAO.BR,Scheid Leilão,https://www.scheid.leilao.br,https://www.scheid.leilao.br,https://www.scheid.leilao.br|https://www.scheid.leilao.br/leiloes|https://www.scheid.leilao.br/catalogo,/lote/|/item/
Plataforma LEILAO.BR,Custódio Leilões,https://www.custodioleiloes.leilao.br,https://www.custodioleiloes.leilao.br,https://www.custodioleiloes.leilao.br|https://www.custodioleiloes.leilao.br/leiloes|https://www.custodioleiloes.leilao.br/catalogo,/lote/|/item/
Plataforma LEILAO.BR,Donizette Leilões,https://www.donizetteleiloes.leilao.br,https://www.donizetteleiloes.leilao.br,https://www.donizetteleiloes.leilao.br|https://www.donizetteleiloes.leilao.br/leiloes|https://www.donizetteleiloes.leilao.br/catalogo,/lote/|/item/
Plataforma LEILAO.BR,A Leiloeira,https://www.aleiloeira.leilao.br,https://www.aleiloeira.leilao.br,https://www.aleiloeira.leilao.br|https://www.aleiloeira.leilao.br/leiloes|https://www.aleiloeira.leilao.br/catalogo,/lote/|/item/
